id,product_affiliate_id,product_code,product_status,product_site_name,product_site_estoque,product_site_ean,product_site_fabricacao,product_site_description,product_site_categories,product_site_tags,product_site_variations,product_site_info,product_site_nutrition,product_site_value,product_site_discount_value,product_site_discount_type,product_sell_by_weight,product_average_weight_value,product_average_weight_type,product_site_related_title,product_site_related_type,product_site_related_code,createdAt,updatedAt
2140,99,19,inactive,"G78 MB TORTA RET. JUMBO BAIXA 4KG BRANCA C/03UN-GALVANOTEK",1,,TERCEIRO,NULL,"EMBALAGENS,PLASTICAS,PLASTICAS",NULL,NULL,NULL,NULL,41.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2141,99,20,inactive,"PAINEL PAPAI NOEL FELIZ NATAL UN-GRINTOY",0,7898337082478,TERCEIRO,NULL,"FESTA,TEMAS,NATAL",NULL,NULL,NULL,NULL,36.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2142,99,21,inactive,"PAINEL PAPAI NOEL BOAS FESTAS UN-GRINTOY",0,7898337082461,TERCEIRO,NULL,"FESTA,TEMAS,NATAL",NULL,NULL,NULL,NULL,36.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2143,99,22,inactive,"PAINEL PAPAI NOEL CHAMINE II UN-GRINTOY",0,7898337085493,TERCEIRO,NULL,"FESTA,TEMAS,NATAL",NULL,NULL,NULL,NULL,25.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2144,99,26,inactive,"SACOLA CRISTAL 40X50CM-KG",64,,PRÓPRIA,,"EMBALAGENS,,SACOS E SACOLAS PLASTICAS,,",,,,null,18.99,null,null,"{"compraPorPeso":false,"mostrarPeso":false}",0,KG,,undefined,null,NULL,NULL
2145,99,27,inactive,"SACOLA SURPRESA MICKEY CLUB HOUSE C/08UN-REGINA",0,7891175230995,TERCEIRO,,"FESTA,,TEMAS,,MICKEY,,",,,,null,18.79,null,null,"{"compraPorPeso":false,"mostrarPeso":false}",0,PT,,undefined,null,NULL,NULL
2146,99,28,inactive,"CHANTILLY 12X1KG-HULALA",0,,TERCEIRO,NULL,"CONFEITARIA,ALIMENTICIOS,CHANTILYS",NULL,NULL,NULL,NULL,131.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2147,99,29,inactive,"KIT NATALINO C/04UN-GRINTOY",0,7898337080436,TERCEIRO,NULL,"FESTA,TEMAS,NATAL",NULL,NULL,NULL,NULL,42.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2148,99,31,inactive,"GO-920 EMBALAGEM P/COMBINADO ORIENTAL PRETA UN-GALVANOTEK",48,,TERCEIRO,NULL,"EMBALAGENS,PLASTICAS,PLASTICAS",NULL,NULL,NULL,NULL,8.19,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2149,99,32,inactive,"JOGO P/CONFEITAR DECORITO UN-MARILIA",0,7897546400721,TERCEIRO,NULL,"CONFEITARIA,UTENSILIOS DE CONFEITARIA,UTENSILIOS DE CONFEITARIA",NULL,NULL,NULL,NULL,11.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
